Timestamp	Level	Message	Source	Duration
2024-01-15T08:00:01.123	INFO	Application started successfully	Main	0
2024-01-15T08:00:02.456	DEBUG	Loading configuration from appsettings.json	Config	15
2024-01-15T08:00:02.789	INFO	Database connection established	Database	234
2024-01-15T08:00:03.012	DEBUG	Cache initialized with 1000 slots	Cache	45
2024-01-15T08:00:05.345	INFO	HTTP server listening on port 8080	HttpServer	0
2024-01-15T08:01:12.678	INFO	User authentication successful	Auth	89
2024-01-15T08:01:15.901	DEBUG	Session created for user: admin	Session	12
2024-01-15T08:02:23.234	WARN	High memory usage detected: 85%	Monitor	0
2024-01-15T08:03:45.567	INFO	API request received: GET /api/users	Api	0
2024-01-15T08:03:45.890	DEBUG	Executing database query	Database	156
2024-01-15T08:03:46.123	INFO	API response sent: 200 OK	Api	233
2024-01-15T08:05:00.456	INFO	Scheduled task started: DataSync	Scheduler	0
2024-01-15T08:05:30.789	DEBUG	Processing 1500 records	DataSync	0
2024-01-15T08:06:15.012	INFO	Scheduled task completed: DataSync	Scheduler	74523
2024-01-15T08:10:22.345	WARN	Connection pool running low: 3 available	Database	0
2024-01-15T08:12:33.678	ERROR	Failed to connect to external API	Integration	5000
2024-01-15T08:12:38.901	INFO	Retry attempt 1 for external API	Integration	0
2024-01-15T08:12:44.234	INFO	External API connection restored	Integration	5333
2024-01-15T08:15:55.567	DEBUG	Garbage collection triggered	Runtime	234
2024-01-15T08:20:06.890	INFO	User logout: admin	Auth	5
2024-01-15T08:25:17.123	INFO	New user registration: user123	Auth	456
2024-01-15T08:30:28.456	DEBUG	Email notification queued	Notification	23
2024-01-15T08:35:39.789	INFO	File upload completed: report.pdf	FileService	1234
2024-01-15T08:40:50.012	WARN	Disk space below threshold: 15% free	Monitor	0
2024-01-15T08:45:01.345	INFO	Backup process initiated	Backup	0
2024-01-15T08:50:12.678	DEBUG	Compressing backup files	Backup	0
2024-01-15T08:55:23.901	INFO	Backup completed successfully	Backup	605234
2024-01-15T09:00:34.234	INFO	Health check passed	Monitor	12
2024-01-15T09:05:45.567	DEBUG	Cache cleanup: removed 150 expired items	Cache	89
2024-01-15T09:10:56.890	ERROR	Database query timeout	Database	30000
2024-01-15T09:11:27.123	INFO	Database query retry successful	Database	567
2024-01-15T09:15:38.456	INFO	API rate limit reset	Api	0
2024-01-15T09:20:49.789	DEBUG	Session cleanup: 5 expired sessions removed	Session	34
2024-01-15T09:25:00.012	INFO	Configuration reload triggered	Config	123
2024-01-15T09:30:11.345	WARN	SSL certificate expires in 30 days	Security	0
2024-01-15T09:35:22.678	INFO	Scheduled maintenance window started	Scheduler	0
2024-01-15T09:40:33.901	DEBUG	Index optimization in progress	Database	0
2024-01-15T09:45:44.234	INFO	Index optimization completed	Database	305678
2024-01-15T09:50:55.567	INFO	Scheduled maintenance window ended	Scheduler	0
2024-01-15T09:55:06.890	DEBUG	Metrics exported to monitoring system	Monitor	456
